Country,Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Average Income (2015-2024),Avg hours per year,Hourly Wages (estimated)
Botswana,BWA,GDP per capita (current US$),6141.203947,6749.059943,7104.964011,7407.959401,7172.089565,6323.297497,7807.887946,8328.709057,7826.353765,7695.753194,7255.727833,2278,3.185130743
Equatorial Guinea,GNQ,GDP per capita (current US$),9068.910032,7453.197979,7809.104657,8102.470848,6804.149231,5764.055029,6945.630698,7589.299649,6677.793435,6745.400132,7296.001169,,
Gabon,GAB,GDP per capita (current US$),7047.126546,6677.070039,6921.733731,7624.277523,7441.178647,6605.803461,8181.409141,8409.207415,7802.824333,8230.043115,7494.067395,,
Libya,LBY,GDP per capita (current US$),7458.489178,7525.802993,9965.832367,11196.58548,9963.194891,6650.338106,4935.827873,5986.636949,6026.515187,6569.164087,7627.838711,,
Dominican Republic,DOM,GDP per capita (current US$),6800.953094,7160.44201,7412.715716,7882.982216,8183.016236,7135.222733,8527.075486,10104.24493,10630.43174,10875.66184,8471.2746,2122,3.992118096
Cuba,CUB,GDP per capita (current US$),7727.919972,8110.558743,8610.608296,8911.46206,9232.261159,9605.279146,,,,,8699.681563,2132,4.080526061
Serbia,SRB,GDP per capita (current US$),5820.321558,5982.370301,6548.036538,7559.861657,7755.632986,8098.709557,9680.527981,10024.81911,12281.70795,13679.2066,8743.119424,2184,4.003259809
Dominica,DMA,GDP per capita (current US$),8282.598747,8802.56172,8224.648966,9215.308541,9491.14996,7827.748427,8376.404141,9323.660895,9912.962128,10405.27878,8986.232231,,
Montenegro,MNE,GDP per capita (current US$),6421.003073,6968.015394,7674.281394,8673.591281,8749.023752,7538.53636,9317.155201,10024.54356,12259.8775,13263.32813,9088.935565,2252,4.035939416
Brazil,BRA,GDP per capita (current US$),8936.195589,8836.28546,10080.50787,9300.660729,9029.833044,7074.194075,7972.536961,9281.332821,10377.58977,10310.54888,9119.96852,2028,4.497025897
Grenada,GRD,GDP per capita (current US$),8694.12438,9221.234611,9751.426612,10083.02128,10462.79292,8968.558901,9617.289029,10469.3867,11414.47817,11705.0903,10038.74029,2090,4.803225019
Kazakhstan,KAZ,GDP per capita (current US$),10196.12263,7475.566887,8943.084168,9472.485273,9457.126147,8781.507978,9983.601036,11255.33964,12879.42753,14154.6325,10259.88938,1976,5.19225171
Mauritius,MUS,GDP per capita (current US$),9630.543784,10095.12256,10986.70341,11818.74806,11568.25334,9135.847738,9177.71196,10246.50175,11269.96845,11990.77989,10592.01809,2085,5.080104602
Malaysia,MYS,GDP per capita (current US$),9648.679794,9476.534098,9862.548066,10901.802,10920.19176,9957.526267,10903.10375,11754.56783,11386.03956,11874.42737,10668.54205,2324,4.590594686
Mexico,MEX,GDP per capita (current US$),10021.23861,9097.923977,9649.278168,10084.79376,10369.55536,8841.27075,10314.05067,11405.79405,13860.95978,14185.78122,10783.06463,2272,4.746067181
China,CHN,GDP per capita (current US$),8175.332851,8254.868593,8979.676527,10085.66381,10342.90095,10627.4638,12887.43572,12970.60564,12951.17824,13303.14815,10857.82743,2397,4.529756958
Maldives,MDV,GDP per capita (current US$),9644.90655,9947.807447,10509.62881,11423.28384,11740.2724,7393.888654,10176.14388,11786.01915,12587.6126,13379.35136,10858.89147,2418,4.490856687
Nauru,NRU,GDP per capita (current US$),7747.25585,8748.156326,9656.979766,11413.7463,10801.77057,10709.06881,14979.0999,12911.90864,12752.47239,13609.15884,11332.96174,1945,5.826715547
Guyana,GUY,GDP per capita (current US$),5640.415606,5870.878238,6178.665044,6048.386972,6405.824434,6775.709391,9860.870148,17913.49281,20473.70022,29675.24439,11484.31873,2324,4.941617352
Bulgaria,BGR,GDP per capita (current US$),7268.654455,7822.499233,8696.689304,9849.383972,10353.72046,10760.21198,12966.14575,13999.19495,15853.20864,17596.01737,11516.57261,2038,5.650918848
Argentina,ARG,GDP per capita (current US$),13679.6265,12699.96231,14532.50093,11752.79989,9955.974787,8535.59938,10738.01792,13962.18941,14261.84657,13969.78366,12408.83014,1924,6.449495913
Costa Rica,CRI,GDP per capita (current US$),11714.7106,12091.03016,12317.09028,12590.24938,12884.686,12394.0494,12838.11854,13625.90085,16942.02681,18587.15322,13598.50152,2210,6.15316811
Romania,ROU,GDP per capita (current US$),8977.017482,9404.540059,10727.9822,12416.13432,12909.6104,13009.17706,14907.98037,15503.5518,18244.41869,20080.20962,13618.0622,2064,6.597898353
Chile,CHL,GDP per capita (current US$),13433.9203,13649.85205,14879.90862,15659.48087,14495.71672,13114.81547,16206.83255,15405.61658,17067.03648,16709.8894,15062.3069,2101,7.169113234
Palau,PLW,GDP per capita (current US$),16154.05322,17150.47594,16401.78476,16166.96711,15846.79685,14708.21195,13009.24816,13729.76028,15610.82319,,15419.79127,2075,7.43122471
Panama,PAN,GDP per capita (current US$),14082.65484,14832.36117,15694.62975,16151.32734,16477.90663,13290.56084,15509.80691,17378.607,18797.1934,19161.21885,16137.62667,1882,8.57472193
Croatia,HRV,GDP per capita (current US$),12283.78406,12820.16539,13901.78781,15460.36696,15563.59873,14807.56085,17788.78658,18465.54144,22184.22793,24050.43979,16732.62595,1971,8.489409413
Seychelles,SYC,GDP per capita (current US$),15333.10517,16566.9946,17480.36519,18440.23405,19141.51187,14041.47541,14982.91115,16836.67219,18262.71158,17858.82264,16894.48039,2116,7.984158972
Poland,POL,GDP per capita (current US$),12637.52203,12464.01105,13913.34029,15658.21203,15874.52205,16150.93048,18635.51049,18891.21212,22145.26606,25103.56566,17147.40923,2070,8.283772573
Hungary,HUN,GDP per capita (current US$),12782.94126,13215.86053,14736.16682,16605.05705,17012.85986,16386.93088,19030.62813,18428.02883,22230.62779,23292.32639,17372.14275,2002,8.677393983
Trinidad and Tobago,TTO,GDP per capita (current US$),19887.23277,17449.15388,17566.09997,17571.49874,17212.61289,15283.62705,17712.56741,20750.52024,18308.45363,18733.41104,18047.51776,,
Latvia,LVA,GDP per capita (current US$),13321.97531,13838.52668,15132.49583,17252.17104,17294.97516,17564.23215,20261.88878,20221.10369,22710.26375,23409.08452,18100.67169,2023,8.947440282
Antigua and Barbuda,ATG,GDP per capita (current US$),16077.63408,16556.85518,16965.72883,18273.42707,18896.37218,15369.60823,17348.6007,20105.19891,21494.5474,23542.45269,18463.04253,,
Uruguay,URY,GDP per capita (current US$),17125.90168,17009.75842,19184.65026,19249.94047,18315.7317,15757.5356,17881.81872,20818.61461,23019.42216,23906.5133,19226.98869,1940,9.910818913
Oman,OMN,GDP per capita (current US$),18808.30779,17110.18975,17820.06618,19901.76156,19180.18642,16784.86306,19403.46002,23223.58294,21027.73848,20285.22729,19354.53835,,
Greece,GRC,GDP per capita (current US$),17980.72982,17919.24264,18631.99301,19873.40152,19335.3602,17886.73317,20654.7002,20886.52431,23343.7104,24626.14819,20113.85435,2064,9.74508447
Lithuania,LTU,GDP per capita (current US$),14269.80399,14934.27028,16800.15102,19247.23154,19608.79439,20428.64782,23870.45949,25085.78406,27786.00578,29384.01896,21141.51673,2007,10.53388975
Barbados,BRB,GDP per capita (current US$),20424.20875,20295.56721,20284.57621,21381.24263,21912.15012,19194.49197,21079.61453,24387.03873,25583.87878,26544.87073,22108.76397,,
Portugal,PRT,GDP per capita (current US$),19215.7813,19980.28089,21442.38428,23541.14011,23343.3629,22299.40441,24711.45101,24620.51976,27634.61831,29292.2421,23608.11851,1986,11.88727014
Estonia,EST,GDP per capita (current US$),17722.15577,18666.37365,20851.52235,23618.13613,24021.25014,23933.99394,27951.16593,28340.38265,30264.00649,31428.35478,24679.73418,1908,12.93487117
Czechia,CZE,GDP per capita (current US$),17931.59877,18753.96867,20913.19763,23705.93298,24062.719,23472.89155,27696.46195,28282.22367,31761.59441,31823.30783,24840.38965,1960,12.67366819
Bahrain,BHR,GDP per capita (current US$),23734.05511,23800.00144,24784.76935,26324.40665,27259.74386,24342.84446,27147.80839,30470.52193,29290.12842,29653.56827,26680.78479,,
Slovenia,SVN,GDP per capita (current US$),20697.27485,21447.83778,23303.07771,25888.04811,25814.16872,25392.06511,29192.84019,28360.30415,32660.47536,34301.03187,26705.71239,2012,13.27321689
Saudi Arabia,SAU,GDP per capita (current US$),23256.15496,22267.72171,23929.29071,29360.0659,29566.79338,24338.83073,31920.76537,38510.22762,36156.84834,35121.66287,29442.83616,,
Spain,ESP,GDP per capita (current US$),25982.44162,26755.60611,28381.34256,30602.42129,29786.52457,27233.94265,30799.47759,30319.49872,33493.22254,35326.76831,29868.1246,1908,15.65415335
Cyprus,CYP,GDP per capita (current US$),23088.44141,24280.05664,26247.44922,29120.375,29227.17383,28130.3418,32937.83984,33231.04297,36623.69141,38674.29297,30156.07051,1955,15.4251
